release_speed,launch_angle,launch_speed,bat_speed,swing_length,pitch_type,balls,strikes,stand,p_throws,estimated_woba_using_speedangle,hit_outcome
95.3,1.0,99.3,73.5,8.4,FF,0,2,R,R,0.448,1
85.7,12.0,100.1,75.6,7.7,ST,3,2,R,R,0.921,2
87.8,2.0,67.2,76.8,7.2,CH,0,0,R,R,0.165,1
88.3,13.0,108.2,77.6,7.8,CH,1,1,R,R,0.87,1
86.8,8.0,91.5,66.0,7.3,SL,1,2,R,L,0.518,1
90.6,25.0,101.5,70.3,8.2,SL,1,2,R,R,1.1956190476190478,2
99.5,18.0,78.8,65.1,5.9,FF,1,2,L,R,0.902,1
89.5,-12.0,49.8,75.8,7.8,SL,1,0,R,R,0.111,1
96.9,11.0,92.5,70.1,7.1,FF,1,0,R,R,0.757,1
97.6,-2.0,107.7,83.1,7.8,FF,0,0,L,R,0.405,1
95.5,27.0,105.4,81.6,8.1,FF,0,0,R,R,1.6189629629629625,3
85.9,11.0,84.4,67.4,6.8,SL,3,1,L,R,0.495,1
79.0,12.0,96.4,76.9,7.9,KC,0,1,R,R,0.889,2
93.3,37.0,103.8,74.5,8.066666666666666,FF,2,1,L,R,1.061409090909091,3
93.7,28.0,108.9,75.9,7.6,FF,0,0,R,R,1.948941176470588,3
85.9,18.0,107.8,78.7,8.6,SL,1,1,R,R,0.8861904761904762,1
94.4,11.0,96.6,76.3,7.1,FF,3,2,L,R,0.819,2
94.2,26.0,103.5,73.7,7.2,FF,1,1,R,R,1.502966101694915,3
85.1,14.0,102.0,77.9,8.2,SL,2,2,R,R,0.767,2
94.6,31.0,107.0,73.1,7.2,FF,1,2,L,R,1.807592592592593,3
88.9,14.0,103.8,78.2,7.6,SI,0,0,L,L,0.757,1
97.1,28.0,97.2,70.53333333333335,6.766666666666667,FF,0,2,R,R,0.5908571428571429,3
80.4,12.0,96.6,76.0,7.2,KC,1,1,L,R,0.898,1
89.0,19.0,107.6,75.9,7.4,SL,0,0,R,R,1.0837586206896554,3
95.9,20.0,109.5,72.4,7.6,FF,0,0,L,R,1.3296944444444447,1
95.2,27.0,105.2,77.3,6.9,FF,2,2,L,R,1.6189629629629625,2
87.1,7.0,97.6,65.8,8.3,SL,3,2,L,R,0.539,2
86.9,-62.0,61.0,75.3,8.3,SL,0,1,R,R,0.302,1
85.5,23.0,106.6,74.4,7.8,SL,2,1,L,R,1.5579454545454543,3
93.9,-5.0,99.7,70.39999999999999,7.566666666666666,CH,1,2,R,R,0.32,2
98.4,28.0,100.5,66.2,6.5,FF,0,2,L,R,1.1186603773584909,3
96.1,19.0,95.4,68.1,6.1,FF,3,2,L,R,0.393,1
94.5,0.0,108.2,72.2,8.0,SI,0,0,R,R,0.483,1
99.4,8.0,91.7,81.3,8.9,SI,2,2,R,R,0.518,1
93.0,2.0,100.4,71.5,6.7,SI,1,0,R,R,0.474,1
81.1,17.0,92.3,69.9,8.0,ST,2,2,R,R,0.651,1
79.0,23.0,86.3,82.2,9.2,ST,0,1,R,R,0.236,2
90.1,16.0,94.9,69.6,6.8,FC,2,1,R,R,0.673,1
84.2,34.0,71.2,54.8,5.5,KC,3,2,R,R,0.563,1
93.3,29.0,100.3,70.3,6.7,FC,1,2,L,R,1.0012424242424245,3
83.5,13.0,105.3,86.7,8.0,ST,3,2,L,R,0.869,1
96.6,-2.0,97.9,84.9,9.2,SI,2,0,R,R,0.358,1
95.4,23.0,110.0,79.3,7.0,SI,3,2,L,R,1.867190476190476,1
94.0,9.0,105.6,73.0,7.2,SI,2,2,R,R,0.749,1
94.4,20.0,108.7,71.7,6.9,SI,3,2,R,R,1.3296944444444447,2
96.4,9.0,106.6,73.7,7.2,FF,0,2,R,L,0.761,2
96.9,25.0,108.7,74.2,6.6,FF,3,2,L,L,1.9301290322580644,3
98.0,28.0,107.9,76.6,7.7,FF,1,0,R,L,1.9139615384615385,3
97.4,12.0,86.2,72.6,7.4,FF,3,1,R,L,0.671,1
95.2,37.0,105.4,78.5,7.2,FF,2,2,L,R,1.1925,3
95.4,38.0,101.5,81.5,7.7,FF,2,0,R,L,0.708625,3
85.3,9.0,91.2,61.4,6.5,CH,2,2,R,L,0.499,1
92.2,30.0,109.8,75.8,7.3,FF,0,0,L,L,1.9722222222222223,3
82.0,3.0,91.4,65.7,6.8,SL,1,2,L,R,0.403,1
94.8,8.0,108.4,77.4,7.3,SI,1,0,L,R,0.657,1
99.2,26.0,103.8,70.3,6.9,FF,2,1,R,R,1.502966101694915,2
87.1,19.0,113.9,78.9,8.0,CH,1,0,L,R,1.5755,2
95.7,14.0,89.2,71.6,6.9,FF,3,2,R,R,0.949,1
99.3,6.0,106.5,78.2,7.7,SI,0,1,R,R,0.584,1
95.1,6.0,105.9,73.2,6.9,FF,2,1,L,R,0.576,2
86.1,-9.0,102.7,70.9,6.4,SL,1,1,L,L,0.252,1
96.4,8.0,106.6,78.2,7.2,FF,2,2,L,L,0.635,1
79.4,35.0,116.6,86.9,9.6,KC,1,2,R,R,1.986,3
86.9,10.0,109.4,73.6,7.1,SL,2,2,L,R,0.933,1
97.2,21.0,93.2,65.6,6.5,FF,0,2,R,R,0.229,2
78.9,10.0,90.6,72.3,6.6,KC,1,1,L,R,0.509,1
85.1,-1.0,99.7,71.5,7.9,SL,0,0,R,R,0.392,1
80.5,0.0,86.3,69.2,6.5,KC,2,2,L,R,0.249,1
84.3,9.0,77.0,63.6,5.9,KC,1,2,L,R,0.367,2
84.2,14.0,84.9,73.6,6.9,ST,0,1,L,R,0.864,1
86.7,29.0,68.0,58.6,7.6,ST,1,2,R,R,0.864,1
94.4,2.0,93.1,67.2,6.9,FF,0,0,R,R,0.393,1
90.1,27.0,94.8,71.7,7.5,FC,3,2,R,R,0.4635,2
95.1,3.0,109.0,72.4,7.4,FF,1,0,R,R,0.516,1
97.0,14.0,95.1,69.2,6.2,FF,0,0,L,R,0.901,1
89.0,18.0,83.3,72.9,7.8,SL,2,2,R,R,0.887,1
98.4,25.0,79.7,71.9,7.4,FF,3,2,L,R,0.32,1
86.8,15.0,81.2,78.3,7.4,ST,0,0,R,R,0.848,1
94.3,18.0,82.3,66.2,6.8,FF,0,2,L,R,0.941,1
84.5,29.0,102.8,74.4,7.7,SL,1,0,R,R,1.3250199999999994,3
95.3,11.0,101.9,78.0,7.1,SI,0,0,R,L,0.875,1
89.1,29.0,105.7,72.9,7.1,SI,1,0,R,R,1.7448749999999995,3
91.3,31.0,104.1,73.4,6.7,FF,1,2,R,L,1.4390624999999997,3
89.7,10.0,107.1,73.1,7.2,FF,1,0,R,L,0.862,1
83.7,-1.0,87.7,79.6,7.6,ST,1,1,R,R,0.222,1
90.0,25.0,73.9,69.7,6.7,FF,2,1,R,L,0.821,1
94.7,14.0,104.8,68.4,7.3,FF,1,0,L,R,0.795,1
